codeCourse,name,credit,type
01175111,TrackandFieldforHealth,1,Wellness
01175112,BadmintonforHealth,1,Wellness
01175113,TennisforHealth,1,Wellness
01175114,TableTennisforHealth,1,Wellness
01175115,MeditationwithShootingActivity,1,Wellness
01175117,MeditationwithArcheryActivity,1,Wellness
01175118,ChairBallforHealth,1,Wellness
01175119,PetanqueforHealth,1,Wellness
01175121,BasketballforHealth,1,Wellness
01175122,SoccerforHealth,1,Wellness
01175123,VolleyballforHealth,1,Wellness
01175124,HandballforHealth,1,Wellness
01175125,SoftballforHealth,1,Wellness
01175126,TakrawforHealth,1,Wellness
01175127,HockeyforHealth,1,Wellness
01175128,RugbyFootballforHealth,1,Wellness
01175129,FutsalforHealth,1,Wellness
01175131,SwimmingforHealth,1,Wellness
01175133,Diving,1,Wellness
01175134,WaterPolo,1,Wellness
01175141,AerobicDanceforHealth,1,Wellness
01175142,FolkDanceforHealth,1,Wellness
01175143,SocialDanceforHealth,1,Wellness
01175144,ThaiClassicalDanceforHealth,1,Wellness
01175151,MartialArtswithThaiSword,1,Wellness
01175152,MartialArtswithFencing,1,Wellness
01175153,MartialArtswithThaiBoxing,1,Wellness
01175154,MartialArtswithBoxing,1,Wellness
01175155,MartialArtswithJudo,1,Wellness
01175156,MartialArtswithAikido,1,Wellness
01175157,MartialArtswithKrabi-Krabong,1,Wellness
01175159,MartialArtswithKarate,1,Wellness
01175161,BrainTrainingwithPlayingBridge,1,Wellness
01175162,BowlingforHealth,1,Wellness
01175163,GolfforHealth,1,Wellness
01175164,CyclingforHealth,1,Wellness
01175165,WeightTrainingforHealth,1,Wellness
01175166,MartialArtswithTaekwondo,1,Wellness
01175167,YogaforHealth,1,Wellness
01175168,JoggingforHealth,1,Wellness
01175169,ExerciseforDevelopingHolisticHealth,2,Wellness
04355185,FlyingDiscforHealth,1,Wellness
04837111,SportsforWell-being,2,Wellness
01173151,AIDSEducation,2,Wellness
01174123,RecreationCamp,2,Wellness
01174231,IntroductiontoRecreation,2,Wellness
01176141,LifeandCareerPlanningfortheNewGeneration,2,Wellness
01350103,Resilientlife,3,Wellness
01387101,TheArtofLivingwithOthers,3,Wellness
01387103,PhilosophyofSufficiencyEconomyandBuddhism,3,Wellness
01390103,TourismforWell-Being,3,Wellness
01402101,BeautyProductsLiteracy,3,Wellness
01416101,Geneticsinmedia,3,Wellness
01418103,HealthandDigitalSociety,2,Wellness
01421201,"Radiation,LifeandEnvironment",2,Wellness
01453102,LawinEverydayLife,3,Wellness
01459101,PsychologyforModernLife,3,Wellness
01459102,PsychologyandHumanDiversity,3,Wellness
01999011,FoodforMankind,3,Wellness
01999012,HealthforLife,3,Wellness
01999033,ArtsofLiving,3,Wellness
01999036,HappinessamongstLifeDynamics,3,Wellness
01999048,InnovationforEnvironmentandWell-being,3,Wellness
01999051,DevelopmentofCoreCompetencythroughOneHealth,3,Wellness
01999213,"Environment,TechnologyandLife",3,Wellness
02032303,AgricultureandQualityofLife,3,Wellness
02032304,AgricultureforGreenEarth,2,Wellness
02717011,SelfandSelfDevelopment,3,Wellness
02724012,PersonalityDevelopment,3,Wellness
02727104,LivingThingsandNaturalDisasters,3,Wellness
02728101,ChemistryinModernLife,3,Wellness
02999038,Happinessin21stCentury,3,Wellness
02999044,SufficiencyEconomyforLiving,3,Wellness
02999045,EnhancementofLivingValuethroughCommunityPath,3,Wellness
03521101,SeaandLife,3,Wellness
03654112,ThaiHerbsandBenefits,3,Wellness
03654113,PhysicalActivitiesforModernLife,3,Wellness
03654114,MobileApplicationsforModernLife,3,Wellness
04101201,LifeStyleofSufficiencyEconomy,3,Wellness
04355181,LeisureActivityforHealth,3,Wellness
01005101,ModernAgriculturalTechnology,3,Entrepreneurship
01101101,GeneralEconomicsinGlobalization,3,Entrepreneurship
01131111,FinanceforEntrepreneurs,3,Entrepreneurship
01177141,KnowledgeAcquisition,3,Entrepreneurship
01200101,InnovativeThinking,3,Entrepreneurship
01242001,DesignandBusinessofCreativeProducts,3,Entrepreneurship
01387105,BuddhistEthicsofBusinessOperations,3,Entrepreneurship
01390104,PersonalityDevelopmentforModernEntrepreneur,3,Entrepreneurship
01418102,InformationTechnologyforEntrepreneurs,3,Entrepreneurship
01453103,LawsforNewEntrepreneur,3,Entrepreneurship
01999041,EconomicsforBetterLiving,3,Entrepreneurship
01999043,CreativityforValueManagement,3,Entrepreneurship
01999112,CircularEconomyConceptforSustainability,3,Entrepreneurship
02714101,CriticalThinkingandProblemSolving,3,Entrepreneurship
02721121,BusinessMangagementforSocialSustainability,3,Entrepreneurship
03600014,CreativeProblemSolvingandCriticalThinkingSkills,3,Entrepreneurship
03757123,MathematicsforBusiness,3,Entrepreneurship
01361101,IntroductoryThaiUsage,3,LanguageandCommunication
01361102,ThaiPracticalWriting,3,LanguageandCommunication
01361103,ThaiCriticalReading,3,LanguageandCommunication
01999021,ThaiLanguageforCommunication,3,LanguageandCommunication
01999022,ThaiLanguageinCulturalContext,3,LanguageandCommunication
02701011,ThaiUsageforBusinessScienceandTechnology,3,LanguageandCommunication
01354101,CommunicativeKhmerI,3,LanguageandCommunication
01354102,CommunicativeKhmerII,3,LanguageandCommunication
01354103,CommunicativeKhmerIII,3,LanguageandCommunication
01355101,EnglishforEverydayLife,3,LanguageandCommunication
01355102,EnglishforUniversityLife,3,LanguageandCommunication
01355103,EnglishforJobOpportunities,3,LanguageandCommunication
01355104,EnglishforPre-MedicalStudentsI,3,LanguageandCommunication
01355105,EnglishforPre-MedicalStudentsII,3,LanguageandCommunication
01355106,CommunicativeEnglishinMedicine,3,LanguageandCommunication
01355107,EssentialEnglishWritingSkills,3,LanguageandCommunication
01355108,EnglishandCulturethroughSongs,3,LanguageandCommunication
01355119,EssentialEnglishReadingSkills,3,LanguageandCommunication
01355121,EnglishWordsandPronunciation,3,LanguageandCommunication
01355201,CriticalReadingandWritinginEnglish,3,LanguageandCommunication
01355202,ReportWritinginEnglish,3,LanguageandCommunication
01355203,EnglishLanguageStructure,3,LanguageandCommunication
01355204,ProjectPresentationinEnglish,3,LanguageandCommunication
01355205,ReadingforMassCommunicationinEnglish,3,LanguageandCommunication
01355206,AcademicEnglish,3,LanguageandCommunication
01355207,EnglishCorrespondence,3,LanguageandCommunication
01355208,EnglishSkillDevelopmentthroughGames,3,LanguageandCommunication
01355209,CommunicativeEnglishforCareers,3,LanguageandCommunication
01355303,EnglishforEmployment,3,LanguageandCommunication
01355307,IntegratedEnglishLanguageSkillsforCommunication,3,LanguageandCommunication
01356101,ElementaryFrenchI,3,LanguageandCommunication
01356102,ElementaryFrenchII,3,LanguageandCommunication
01356103,ElementaryFrenchIII,3,LanguageandCommunication
01356104,ElementaryFrenchIV,3,LanguageandCommunication
01357101,ElementaryGermanI,3,LanguageandCommunication
01357102,ElementaryGermanII,3,LanguageandCommunication
01357103,ElementaryGermanIII,3,LanguageandCommunication
01357104,ElementaryGermanIV,3,LanguageandCommunication
01358101,ElementaryJapaneseI,3,LanguageandCommunication
01358102,ElementaryJapaneseII,3,LanguageandCommunication
01358103,ElementaryJapaneseIII,3,LanguageandCommunication
01358104,ElementaryJapaneseIV,3,LanguageandCommunication
01362101,ChineseI,3,LanguageandCommunication
01362102,ChineseII,3,LanguageandCommunication
01362201,ChineseIII,3,LanguageandCommunication
01362202,ChineseIV,3,LanguageandCommunication
01362301,ChineseV,3,LanguageandCommunication
01395101,CommunicativeKoreanI,3,LanguageandCommunication
01395102,CommunicativeKoreanII,3,LanguageandCommunication
01395103,CommunicativeKoreanIII,3,LanguageandCommunication
01395104,CommunicativeKoreanIV,3,LanguageandCommunication
01395105,KoreanReadingandOralReport,3,LanguageandCommunication
01399101,CommunicativeVietnameseI,3,LanguageandCommunication
01399102,CommunicativeVietnameseII,3,LanguageandCommunication
01399103,CommunicativeVietnameseIII,3,LanguageandCommunication
01399104,CommunicativeVietnameseIV,3,LanguageandCommunication
01399105,VietnameseReading,3,LanguageandCommunication
01399106,VietnameseListeningandSpeaking,3,LanguageandCommunication
02724011,InterculturalCommunication,3,LanguageandCommunication
03754221,BasicEnglishPronunciation,3,LanguageandCommunication
03754231,EnglishReadinginDailyLife,3,LanguageandCommunication
03754241,EnglishGrammaticalStructure,3,LanguageandCommunication
03754251,EnglishParagraphWriting,3,LanguageandCommunication
03754271,EnglishforCareers,3,LanguageandCommunication
01371111,InformationMediaforLearning,1,LanguageandCommunication
01418101,ComputerApplications,1,LanguageandCommunication
01418104,ITUpdates,2,LanguageandCommunication
01418106,DigitalTechnologySkills,3,LanguageandCommunication
01999023,DigitalLiteracy,2,LanguageandCommunication
03600013,EssentialComputerToolsandSkills,1,LanguageandCommunication
03752111,InformationResourcesforResearch,1,LanguageandCommunication
01999111,KnowledgeoftheLand,2,ThaiCitizenandGlobalCitizen
01001317,LeadersandAgriculturalSectorsDevelopment,3,ThaiCitizenandGlobalCitizen
01009102,HumansandNaturalResources,3,ThaiCitizenandGlobalCitizen
01015202,ThaiLivelihoodAgriculture,3,ThaiCitizenandGlobalCitizen
01301101,ResourcesandEnvironmentalConservation,3,ThaiCitizenandGlobalCitizen
01350104,ArtofReadingPeople,3,ThaiCitizenandGlobalCitizen
01390102,CreativeTourism,3,ThaiCitizenandGlobalCitizen
01453101,FundamentalRights,3,ThaiCitizenandGlobalCitizen
01455101,GlobalPoliticsinDailyLife,3,ThaiCitizenandGlobalCitizen
01460101,ContemporaryThaiSocietyandCulture,3,ThaiCitizenandGlobalCitizen
01999013,DigitalCitizens,3,ThaiCitizenandGlobalCitizen
01999031,TheHeritageofCivilization,3,ThaiCitizenandGlobalCitizen
01999032,ThaiStudies,3,ThaiCitizenandGlobalCitizen
01999046,NationalSecurityDevelopment,3,ThaiCitizenandGlobalCitizen
01999047,MilitaryforCountryDevelopment,3,ThaiCitizenandGlobalCitizen
01999141,ManandSociety,3,ThaiCitizenandGlobalCitizen
02717112,ContemporaryThaiPolitics,3,ThaiCitizenandGlobalCitizen
02999042,StudentDevelopment,3,ThaiCitizenandGlobalCitizen
02999144,LifeSkillsforUndergraduateStudent,1,ThaiCitizenandGlobalCitizen
02999147,TheThaiinASEANDynamics,3,ThaiCitizenandGlobalCitizen
03751111,ManandEnvironment,3,ThaiCitizenandGlobalCitizen
03751112,SocialandPolitics,3,ThaiCitizenandGlobalCitizen
04101302,VolunteerSpiritforCommunityDevelopment,3,ThaiCitizenandGlobalCitizen
01007101,HorticultureforLifeQualityandEnvironment,2,Aesthetics
01240011,DesigninEverydayLife,3,Aesthetics
01244101,DesignforWell-being,3,Aesthetics
01255101,ManandSea,3,Aesthetics
01308101,SustainableNature-basedTourism,3,Aesthetics
01350102,VisualStorytelling,3,Aesthetics
01387102,PhilosophyforModernLife,3,Aesthetics
01401201,PlantsforValueofLifeCreation,3,Aesthetics
01418105,DigitalCreativeArts,3,Aesthetics
01420201,GemsandJewelry,3,Aesthetics
01999034,ArtPerception,3,Aesthetics
01999035,MusicCultureinLife,3,Aesthetics
02708102,LiteratureandScience,3,Aesthetics
02999037,ArtsofAestheticsforHappiness,3,Aesthetics
03600012,GreenTechnology,3,Aesthetics
03654111,AestheticsofSport,3,Aesthetics
