codeCourse,name,credit,type,courseYear
01418131,DigitalComputerLogic,3,Elective,60
01418212,CProgramming,3,Elective,60
01418213,COBOLProgramming,3,Elective,60
01418214,VisualProgramming,3,Elective,60
01418215,JavaProgramming,3,Elective,60
01418216,PrinciplesofProgrammingLanguages,3,Elective,60
01418217,LISPProgramming,3,Elective,60
01418218,PrologProgramming,3,Elective,60
01418219,PracticuminSoftwareDevelopment,1,Elective,60
01418222,InternetApplicationforCommerce,3,Elective,60
01418234,ProgrammingInternetofThings,3,Elective,60
01418235,UnixOperatingSystemandShellProgramming,3,Elective,60
01418311,ChallengingComputationalProgramming,3,Elective,60
01418322,PrinciplesofInformationSystem,3,Elective,60
01418323,IntroductiontoDataScience,3,Elective,60
01418324,InformationQualityManagement,3,Elective,60
01418325,DatabaseManagementSystemArchitecture,3,Elective,60
01418326,MultimediaDatabase,3,Elective,60
01418327,DecisionSupportandBusinessIntelligentSystems,3,Elective,60
01418328,HumanResourcesInformationSystem,3,Elective,60
01418335,DataCompression,3,Elective,60
01418342,EnterpriseResourcePlanningSystemDesignandDevelopment,3,Elective,60
01418343,ComputerProgramminginBusiness,3,Elective,60
01418344,MobileApplicationDesignandDevelopment,3,Elective,60
01418352,DataCommunicationsandNetworks,3,Elective,60
01418353,DistributedandCloudSystems,3,Elective,60
01418381,PrinciplesofComputerAnimation,3,Elective,60
01418382,IntroductiontoInteractiveComputerGraphics,3,Elective,60
01418383,GameProgramming,3,Elective,60
01418384,ImageAnalysisandComputerVision,3,Elective,60
01418385,DigitalImageProcessing,3,Elective,60
01418421,HumanComputerInteraction,3,Elective,60
01418441,BusinessDataDimensionandReportManagement,3,Elective,60
01418442,WebTechnologyandWebServices,3,Elective,60
01418451,NetworkDesignandAdministration,3,Elective,60
01418461,InformationRetrievalSystem,3,Elective,60
01418462,ArtificialIntelligence,3,Elective,60
01418471,IntroductiontoSoftwareEngineering,3,Elective,60
01418472,ProjectManagementandControl,3,Elective,60
01418473,ComputerControlandAudit,3,Elective,60
01418474,SoftwareQualityManagement,3,Elective,60
01418475,SoftwareTestingandVerification,3,Elective,60
01418476,SoftwareMeasurement,3,Elective,60
01418481,Multi-CharacterAnimation,3,Elective,60
01418482,ComputerGraphics,3,Elective,60
01418496,SelectedTopicinComputerScience,3,Elective,60
01420245,IntroductiontoDigitalElectronics,2,Elective,60
01420246,LaboratoryinIntroductiontoDigitalElectronics,1,Elective,60
01417111,CalculusI,3,Coresubject,60
01417112,CalculusII,3,Coresubject,60
01417322,IntroductoryLinearAlgebra,3,Coresubject,60
01418132,FundamentalsofComputing,4,Coresubject,60
01422111,PrinciplesofStatistics,3,Coresubject,60
01418112,FundamentalProgrammingConcepts,3,RestrictedElective,60
01418113,ComputerProgramming,3,RestrictedElective,60
01418114,IntroductiontoComputerScience,2,RestrictedElective,60
01418211,SoftwareConstruction,3,RestrictedElective,60
01418221,FundamentalsofDatabaseSystems,3,RestrictedElective,60
01418231,DataStructures,3,RestrictedElective,60
01418232,AlgorithmDesignandAnalysis,3,RestrictedElective,60
01418233,AssemblyLanguageandComputerArchitecture,4,RestrictedElective,60
01418321,SystemAnalysisandDesign,3,RestrictedElective,60
01418331,OperatingSystems,4,RestrictedElective,60
01418332,InformationSystemsSecurity,3,RestrictedElective,60
01418333,AutomataTheory,2,RestrictedElective,60
01418334,CompilerTechniques,2,RestrictedElective,60
01418341,IntellectualPropertiesandProfessionalEthics,3,RestrictedElective,60
01418351,ComputerCommunicationsandCloudComputingPrinciples,3,RestrictedElective,60
01418390,Co-operativeEducationPreparation,1,RestrictedElective,60
01418490,Co-operativeEducation,6,RestrictedElective,60
01418497,Seminar,1,RestrictedElective,60
01418499,ComputerScienceProject,3,RestrictedElective,60
