codeCourse,name,credit,affiliation,type,courseYear
01418131,DigitalComputerLogic,3,คณะวิทยาศาสตร์,Elective,60
01418212,CProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418213,COBOLProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418214,VisualProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418215,JavaProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418216,PrinciplesofProgrammingLanguages,3,คณะวิทยาศาสตร์,Elective,60
01418217,LISPProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418218,PrologProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418219,PracticuminSoftwareDevelopment,1,คณะวิทยาศาสตร์,Elective,60
01418222,InternetApplicationforCommerce,3,คณะวิทยาศาสตร์,Elective,60
01418234,ProgrammingInternetofThings,3,คณะวิทยาศาสตร์,Elective,60
01418235,UnixOperatingSystemandShellProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418311,ChallengingComputationalProgramming,3,คณะวิทยาศาสตร์,Elective,60
01418322,PrinciplesofInformationSystem,3,คณะวิทยาศาสตร์,Elective,60
01418323,IntroductiontoDataScience,3,คณะวิทยาศาสตร์,Elective,60
01418324,InformationQualityManagement,3,คณะวิทยาศาสตร์,Elective,60
01418325,DatabaseManagementSystemArchitecture,3,คณะวิทยาศาสตร์,Elective,60
01418326,MultimediaDatabase,3,คณะวิทยาศาสตร์,Elective,60
01418327,DecisionSupportandBusinessIntelligentSystems,3,คณะวิทยาศาสตร์,Elective,60
01418328,HumanResourcesInformationSystem,3,คณะวิทยาศาสตร์,Elective,60
01418335,DataCompression,3,คณะวิทยาศาสตร์,Elective,60
01418342,EnterpriseResourcePlanningSystemDesignandDevelopment,3,คณะวิทยาศาสตร์,Elective,60
01418343,ComputerProgramminginBusiness,3,คณะวิทยาศาสตร์,Elective,60
01418344,MobileApplicationDesignandDevelopment,3,คณะวิทยาศาสตร์,Elective,60
01418352,DataCommunicationsandNetworks,3,คณะวิทยาศาสตร์,Elective,60
