codeCourse,name,credit,affiliation,type,courseYear
01175111,TrackandFieldforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175112,BadmintonforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175113,TennisforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175114,TableTennisforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175115,MeditationwithShootingActivity,1,คณะศึกษาศาสตร์,Wellness,64
01175117,MeditationwithArcheryActivity,1,คณะศึกษาศาสตร์,Wellness,64
01175118,ChairBallforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175119,PetanqueforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175121,BasketballforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175122,SoccerforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175123,VolleyballforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175124,HandballforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175125,SoftballforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175126,TakrawforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175127,HockeyforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175128,RugbyFootballforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175129,FutsalforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175131,SwimmingforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175133,Diving,1,คณะศึกษาศาสตร์,Wellness,64
01175134,WaterPolo,1,คณะศึกษาศาสตร์,Wellness,64
01175141,AerobicDanceforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175142,FolkDanceforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175143,SocialDanceforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175144,ThaiClassicalDanceforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175151,MartialArtwithThaiSword,1,คณะศึกษาศาสตร์,Wellness,64
01175152,MartialArtswithFencing,1,คณะศึกษาศาสตร์,Wellness,64
01175153,MartialArtwithThaiBoxing,1,คณะศึกษาศาสตร์,Wellness,64
01175154,MartialArtwithBoxing,1,คณะศึกษาศาสตร์,Wellness,64
01175155,MartialArtwithJudo,1,คณะศึกษาศาสตร์,Wellness,64
01175156,MartialArtwithAikido,1,คณะศึกษาศาสตร์,Wellness,64
01175157,MartialArtwithKrabi-Krabong,1,คณะศึกษาศาสตร์,Wellness,64
01175159,MartialArtwithKarate,1,คณะศึกษาศาสตร์,Wellness,64
01175161,BrainTrainingwithPlayingBridge,1,คณะศึกษาศาสตร์,Wellness,64
01175162,BowlingforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175163,GolfforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175164,CyclingforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175165,WeightTrainingforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175166,MartialArtwithTaekwondo,1,คณะศึกษาศาสตร์,Wellness,64
01175167,YogaforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175168,JoggingforHealth,1,คณะศึกษาศาสตร์,Wellness,64
01175169,ExercisefordevelopingHolisticHealth,2,คณะศึกษาศาสตร์,Wellness,64
04355185,FlyingDiscforhealth,1,คณะศิลปศาสตร์และวิทยาการจัดการ,Wellness,64
04837111,SportsforWellbeing,2,คณะศิลปศาสตร์และวิทยาการจัดการ,Wellness,64
01173151,AIDSEducation,2,คณะศึกษาศาสตร์,Wellness,64
01174123,RecreationCamp,2,คณะศึกษาศาสตร์,Wellness,64
01174231,IntroductiontoRecreation,2,คณะศึกษาศาสตร์,Wellness,64
01176141,LifeandCareerPlanningfortheNewGeneration,2,คณะศึกษาศาสตร์,Wellness,64
01350103,ResilientLife,3,คณะมนุษยศาสตร์,Wellness,64
01387101,TheArtofLivingwithOthers,3,คณะมนุษยศาสตร์,Wellness,64
01387103,PhilosophyofSufficiencyEconomicsandBuddhism,3,คณะมนุษยศาสตร์,Wellness,64
01390103,TourismforWell-Being,3,คณะมนุษยศาสตร์,Wellness,64
01402101,BeautyProductsLiteracy,3,คณะวิทยาศาสตร์,Wellness,64
01416101,GeneticsinMedia,3,คณะวิทยาศาสตร์,Wellness,64
01418103,HealthandDigitalSociety,2,คณะวิทยาศาสตร์,Wellness,64
01421201,"Radiation,LifeandEnvironment",2,คณะวิทยาศาสตร์,Wellness,64
01453102,LawinEverydayLife,3,คณะสังคมศาสตร์,Wellness,64
01459101,PsychologyforModernLife,3,คณะสังคมศาสตร์,Wellness,64
01459102,PsychologyandHumanDiversity,3,คณะสังคมศาสตร์,Wellness,64
01999011,FoodforMankind,3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
01999012,HealthforLife,3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
01999033,ArtsofLiving,3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
01999036,HappinessamongstLifeDynamics,3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
01999048,InnovationforEnvironmentandWell-being,3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
01999051,DevelopmentofCoreCompetencythroughOneHealth,3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
01999213,"Environment,TechnologyandLife",3,วิทยาลัยบูรณาการศาสตร์,Wellness,64
02032303,AgricultureandQualityofLife,3,คณะเกษตรกำแพงแสน,Wellness,64
02032304,AgricultureforGreenEarth,2,คณะเกษตรกำแพงแสน,Wellness,64
02717011,SelfandSelfDevelopment,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Wellness,64
02724012,PersonalityDevelopment,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Wellness,64
02727104,LivingThingsandNaturalDisasters,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Wellness,64
02728101,ChemistryinModernLife,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Wellness,64
02999038,Happinessinthe21stCentury,3,โครงการบูรณาการวิทยาเขตกำแพงแสน,Wellness,64
02999044,SufficiencyEconomyforLiving,3,โครงการบูรณาการวิทยาเขตกำแพงแสน,Wellness,64
02999045,EnhancementofLivingValuethroughCommunityPath,3,โครงการบูรณาการวิทยาเขตกำแพงแสน,Wellness,64
03521101,SeaandLife,3,คณะพาณิชยนาวีนานาชาติ,Wellness,64
03654112,ThaiHerbsandtheirBenefits,3,คณะวิทยาศาสตร์ศรีราชา,Wellness,64
03654113,PhysicalActivitiesforModernLife,3,คณะวิทยาศาสตร์ศรีราชา,Wellness,64
03654114,MobileApplicationsforModernLife,3,คณะวิทยาศาสตร์ศรีราชา,Wellness,64
04101201,LifestyleofSufficiencyEconomy,3,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,Wellness,64
04355181,LeisureActivityforHealth,3,คณะวิทยาการจัดการ,Wellness,64
01005101,ModernAgriculturalTechnology,3,คณะเกษตร,Entrepreneurship,64
01101101,GeneralEconomicsinGlobalization,3,คณะเศรษฐศาสตร์,Entrepreneurship,64
01131111,FinanceforEntrepreneurs,3,คณะบริหารธุรกิจ,Entrepreneurship,64
01132101,ModernEntrepreneur,3,คณะบริหารธุรกิจ,Entrepreneurship,64
01177141,KnowledgeAcquisition,3,คณะศึกษาศาสตร์,Entrepreneurship,64
01200101,InnovativeThinking,3,คณะวิศวกรรมศาสตร์,Entrepreneurship,64
01242001,DesignandBusinessofCreativeProducts,3,คณะสถาปัตยกรรมศาสตร์,Entrepreneurship,64
01387105,BuddhistEthicsofBusinessOperations,3,คณะมนุษยศาสตร์,Entrepreneurship,64
01390104,PersonalityDevelopmentforModernEntrepreneur,3,คณะมนุษยศาสตร์,Entrepreneurship,64
01418102,InformationTechnologyforEntrepreneurs,3,คณะวิทยาศาสตร์,Entrepreneurship,64
01453103,LawsforNewEntrepreneur,3,คณะสังคมศาสตร์,Entrepreneurship,64
01999041,EconomicsforBetterLiving,3,วิทยาลัยบูรณาการศาสตร์,Entrepreneurship,64
01999043,CreativityforValueManagement,3,วิทยาลัยบูรณาการศาสตร์,Entrepreneurship,64
01999112,CircularEconomyConceptforSustainability,3,วิทยาลัยบูรณาการศาสตร์,Entrepreneurship,64
